Station,Year,week,Weekly Rainfall (mm),Weekly Mean Temperature (°C),Weekly Maximum Temperature (°C),Weekly Minimum Temperature (°C),Weekly Mean Wind Speed (km/h),Weekly Maximum Wind Speed (km/h),lat,long
Admiralty,2014,1,90.0,25.97142857142857,31.9,23.1,8.442857142857143,37.4,1.44387,103.78538
Admiralty,2014,2,0.4,25.8,29.6,23.5,13.542857142857143,44.3,1.44387,103.78538
Admiralty,2014,3,0.0,25.32857142857143,29.2,23.0,13.271428571428572,41.8,1.44387,103.78538
Admiralty,2014,4,0.0,25.642857142857142,32.4,21.8,13.028571428571428,53.6,1.44387,103.78538
Admiralty,2014,5,15.8,26.02857142857143,32.0,22.4,10.457142857142857,35.6,1.44387,103.78538
Admiralty,2014,6,0.0,27.214285714285715,33.4,24.1,11.314285714285715,41.0,1.44387,103.78538
Admiralty,2014,7,0.0,27.12857142857143,32.4,24.5,14.028571428571428,51.1,1.44387,103.78538
Admiralty,2014,8,0.0,26.857142857142858,32.4,23.4,13.042857142857143,44.3,1.44387,103.78538
Admiralty,2014,9,0.0,27.314285714285713,33.9,23.5,11.214285714285714,40.7,1.44387,103.78538
Admiralty,2014,10,0.0,27.67142857142857,33.8,23.6,13.042857142857143,43.6,1.44387,103.78538
Admiralty,2014,11,105.4,26.271428571428572,33.1,23.6,7.871428571428572,44.3,1.44387,103.78538
Admiralty,2014,12,14.6,27.957142857142856,34.0,24.1,10.9,45.7,1.44387,103.78538
Admiralty,2014,13,6.2,28.02857142857143,34.0,24.2,7.5,36.4,1.44387,103.78538
Admiralty,2014,14,70.60000000000001,27.614285714285717,34.5,22.4,7.171428571428572,38.2,1.44387,103.78538
Admiralty,2014,15,92.4,28.014285714285712,35.8,23.0,6.085714285714286,47.9,1.44387,103.78538
Admiralty,2014,16,80.2,27.557142857142857,34.9,24.0,6.071428571428571,41.4,1.44387,103.78538
Admiralty,2014,17,50.8,28.37142857142857,34.7,24.5,6.557142857142857,44.3,1.44387,103.78538
Admiralty,2014,18,75.6,28.599999999999998,34.9,23.0,6.671428571428572,43.2,1.44387,103.78538
Admiralty,2014,19,73.4,28.228571428571428,33.7,23.3,6.242857142857143,46.4,1.44387,103.78538
Admiralty,2014,20,52.0,27.52857142857143,33.3,22.7,5.885714285714286,43.9,1.44387,103.78538
Admiralty,2014,21,61.2,28.25714285714286,33.6,24.6,6.1000000000000005,31.3,1.44387,103.78538
Admiralty,2014,22,87.4,27.957142857142856,32.3,24.1,5.757142857142857,46.4,1.44387,103.78538
Admiralty,2014,23,40.400000000000006,29.17142857142857,34.5,22.9,5.985714285714286,60.5,1.44387,103.78538
Admiralty,2014,24,13.2,29.8,34.3,23.3,6.885714285714286,47.9,1.44387,103.78538
Admiralty,2014,25,28.8,29.02857142857143,33.3,22.6,6.685714285714285,58.3,1.44387,103.78538
Admiralty,2014,26,62.0,28.099999999999998,33.3,23.0,5.628571428571428,38.9,1.44387,103.78538
Admiralty,2014,27,117.6,27.714285714285715,33.1,22.9,6.728571428571429,43.6,1.44387,103.78538
Admiralty,2014,28,0.0,29.17142857142857,33.9,25.1,6.642857142857143,42.8,1.44387,103.78538
Admiralty,2014,29,2.4,29.67142857142857,33.9,26.3,6.971428571428571,40.0,1.44387,103.78538
Admiralty,2014,30,89.0,27.97142857142857,32.5,22.0,6.414285714285714,62.6,1.44387,103.78538
Admiralty,2014,31,13.799999999999999,27.942857142857143,32.3,23.6,6.785714285714286,49.0,1.44387,103.78538
Admiralty,2014,32,51.6,27.0,31.6,23.5,5.5600000000000005,42.1,1.44387,103.78538
Admiralty,2014,33,0.0,,,,,,1.44387,103.78538
Admiralty,2014,34,0.0,,,,,,1.44387,103.78538
Admiralty,2014,35,0.0,,,,,,1.44387,103.78538
Admiralty,2014,39,0.0,,,,,,1.44387,103.78538
Admiralty,2014,40,0.0,,,,,,1.44387,103.78538
Admiralty,2014,41,43.4,27.15,32.6,24.1,6.833333333333333,42.1,1.44387,103.78538
Admiralty,2014,42,1.6,28.21666666666667,34.3,24.4,5.766666666666667,28.1,1.44387,103.78538
Admiralty,2014,43,0.0,28.02857142857143,34.2,24.0,6.914285714285714,49.0,1.44387,103.78538
Admiralty,2014,44,0.0,28.014285714285712,34.5,23.4,7.042857142857143,50.0,1.44387,103.78538
Admiralty,2014,45,123.5,26.942857142857143,33.7,23.0,6.357142857142857,79.9,1.44387,103.78538
Admiralty,2014,46,40.2,26.685714285714287,33.5,24.8,6.628571428571428,44.3,1.44387,103.78538
Admiralty,2014,47,72.2,27.185714285714287,33.1,24.2,6.871428571428572,71.3,1.44387,103.78538
Admiralty,2014,48,62.00000000000001,27.314285714285713,34.5,23.4,6.8428571428571425,53.3,1.44387,103.78538
Admiralty,2014,49,47.60000000000001,27.342857142857145,33.3,23.9,9.87142857142857,41.4,1.44387,103.78538
Admiralty,2014,50,68.0,26.771428571428572,32.9,23.6,8.27142857142857,41.0,1.44387,103.78538
Admiralty,2014,51,44.8,26.357142857142858,32.4,23.7,7.371428571428572,38.9,1.44387,103.78538
Admiralty,2014,52,2.8,25.475,29.7,23.9,11.775,50.0,1.44387,103.78538
Admiralty,2015,1,58.199999999999996,26.228571428571428,32.8,23.5,9.528571428571428,36.7,1.44387,103.78538
Admiralty,2015,2,0.4,26.82857142857143,31.2,23.5,14.700000000000001,44.6,1.44387,103.78538
Admiralty,2015,3,16.0,26.24285714285714,30.5,23.6,14.1,44.3,1.44387,103.78538
Admiralty,2015,4,1.8,26.514285714285712,31.8,23.5,13.12857142857143,43.6,1.44387,103.78538
Admiralty,2015,5,21.0,25.857142857142858,30.4,23.1,13.62857142857143,50.4,1.44387,103.78538
Admiralty,2015,6,0.0,26.066666666666666,30.2,23.3,15.2,50.8,1.44387,103.78538
Admiralty,2015,7,1.4,26.885714285714283,32.2,23.4,13.9,42.5,1.44387,103.78538
Admiralty,2015,8,42.800000000000004,27.12857142857143,34.1,23.6,12.814285714285715,40.3,1.44387,103.78538
Admiralty,2015,9,0.2,27.728571428571428,33.5,24.4,11.028571428571428,41.4,1.44387,103.78538
Admiralty,2015,10,11.6,27.071428571428573,33.5,24.3,10.842857142857143,46.1,1.44387,103.78538
Admiralty,2015,11,47.4,27.885714285714283,35.0,24.7,10.085714285714285,45.4,1.44387,103.78538
Admiralty,2015,12,40.4,27.942857142857143,33.9,23.1,12.87142857142857,57.6,1.44387,103.78538
Admiralty,2015,13,176.0,27.285714285714285,34.0,22.3,7.528571428571429,45.4,1.44387,103.78538
Admiralty,2015,14,39.6,28.271428571428572,34.8,22.8,9.6,37.4,1.44387,103.78538
Admiralty,2015,15,16.4,28.642857142857142,33.5,24.0,10.557142857142859,39.2,1.44387,103.78538
Admiralty,2015,16,56.400000000000006,27.585714285714285,34.4,23.7,6.542857142857143,55.1,1.44387,103.78538
Admiralty,2015,17,77.8,27.599999999999998,33.8,23.0,6.3428571428571425,63.4,1.44387,103.78538
Admiralty,2015,18,99.60000000000001,28.185714285714287,33.8,23.6,5.985714285714286,38.9,1.44387,103.78538
Admiralty,2015,19,42.0,28.457142857142856,33.8,25.2,6.414285714285714,36.0,1.44387,103.78538
Admiralty,2015,20,87.4,28.142857142857142,34.0,25.2,5.771428571428571,37.1,1.44387,103.78538
Admiralty,2015,21,24.599999999999998,28.785714285714285,34.3,24.9,6.357142857142857,34.9,1.44387,103.78538
Admiralty,2015,22,12.399999999999999,28.585714285714285,35.1,25.0,6.042857142857143,37.8,1.44387,103.78538
Admiralty,2015,23,20.200000000000003,27.82857142857143,32.6,24.4,5.814285714285715,47.2,1.44387,103.78538
Admiralty,2015,24,29.4,28.099999999999998,33.2,23.4,6.142857142857143,42.8,1.44387,103.78538
Admiralty,2015,25,0.0,29.87142857142857,33.8,27.3,7.414285714285714,32.4,1.44387,103.78538
Admiralty,2015,26,20.4,29.099999999999998,34.0,23.5,6.628571428571428,54.0,1.44387,103.78538
Admiralty,2015,27,5.2,29.12857142857143,33.6,23.8,6.928571428571429,58.0,1.44387,103.78538
Admiralty,2015,28,50.6,28.914285714285715,33.2,22.8,7.371428571428572,55.1,1.44387,103.78538
Admiralty,2015,29,4.4,29.24285714285714,34.1,25.3,8.142857142857142,43.9,1.44387,103.78538
Admiralty,2015,30,97.2,27.842857142857145,32.8,23.2,7.314285714285715,52.9,1.44387,103.78538
Admiralty,2015,31,39.2,27.514285714285712,33.1,23.9,5.871428571428572,42.5,1.44387,103.78538
Admiralty,2015,32,23.6,28.17142857142857,32.8,23.2,7.728571428571429,63.4,1.44387,103.78538
Admiralty,2015,33,17.6,28.928571428571427,32.9,24.9,7.028571428571429,44.3,1.44387,103.78538
Admiralty,2015,34,1.0,28.74285714285714,33.4,25.4,8.628571428571428,36.7,1.44387,103.78538
Admiralty,2015,35,7.4,29.042857142857144,33.9,25.3,8.042857142857143,38.9,1.44387,103.78538
Admiralty,2015,36,41.0,28.342857142857145,33.1,22.8,6.328571428571428,52.6,1.44387,103.78538
Admiralty,2015,37,10.399999999999999,28.285714285714285,32.8,24.4,7.614285714285714,45.0,1.44387,103.78538
Admiralty,2015,38,85.2,28.457142857142856,33.4,23.1,6.457142857142857,40.0,1.44387,103.78538
Admiralty,2015,39,27.6,28.114285714285717,33.3,23.7,6.071428571428571,42.1,1.44387,103.78538
Admiralty,2015,40,13.6,28.32857142857143,33.8,24.8,5.771428571428571,34.6,1.44387,103.78538
Admiralty,2015,41,0.0,29.214285714285715,34.2,25.8,7.3,38.5,1.44387,103.78538
Admiralty,2015,42,9.8,29.400000000000002,33.9,25.4,7.2,38.2,1.44387,103.78538
Admiralty,2015,43,48.0,27.785714285714285,34.0,22.2,7.228571428571429,55.8,1.44387,103.78538
Admiralty,2015,44,72.8,27.485714285714288,34.1,23.2,6.571428571428571,48.6,1.44387,103.78538
Admiralty,2015,45,53.800000000000004,27.342857142857145,33.9,24.3,6.285714285714286,47.2,1.44387,103.78538
